# Count_Alpha
# Time (s), Counts, Avg Counts in 1 seconds
      1144,    122, 117.054
      1145,     96, 117.035
      1146,    119, 117.036
      1147,     94, 117.015
      1148,    107, 117.006
      1149,     92, 116.984
# Time (s), Counts, Avg Counts in 1 seconds
      1150,    132, 116.997
      1151,    114, 116.995
      1152,    134, 117.010
      1153,    111, 117.005
      1154,     98, 116.987
      1155,    102, 116.974
      1156,    118, 116.975
      1157,    120, 116.977
      1158,    120, 116.980
      1159,    100, 116.965
      1160,    125, 116.972
      1161,    107, 116.963
      1162,    115, 116.961
      1163,    114, 116.959
      1164,    106, 116.949
      1165,    105, 116.938
      1166,    126, 116.946
      1167,     94, 116.926
      1168,    126, 116.934
      1169,    125, 116.941
      1170,    114, 116.938
      1171,    115, 116.937
      1172,    128, 116.946
      1173,    124, 116.953
      1174,    125, 116.960
      1175,    145, 116.985
      1176,    132, 116.998
      1177,    110, 116.992
      1178,    148, 117.019
      1179,    120, 117.022
      1180,    115, 117.020
      1181,    122, 117.025
      1182,     95, 117.005
      1183,    121, 117.009
      1184,    119, 117.011
      1185,    106, 117.001
      1186,    114, 116.998
      1187,    145, 117.023
      1188,    121, 117.026
      1189,    142, 117.048
      1190,    115, 117.046
      1191,    116, 117.046
      1192,    137, 117.063
      1193,    122, 117.067
      1194,    135, 117.083
      1195,    118, 117.084
      1196,    132, 117.097
      1197,     99, 117.081
      1198,    120, 117.084
      1199,    109, 117.077
      1200,    118, 117.077
      1201,    100, 117.063
      1202,    117, 117.062
      1203,    130, 117.074
      1204,    102, 117.061
      1205,    114, 117.058
      1206,    131, 117.070
      1207,    107, 117.061
      1208,    103, 117.049
      1209,    118, 117.050
      1210,     98, 117.034
      1211,     99, 117.018
      1212,    120, 117.021
      1213,     94, 117.001
      1214,    114, 116.998
      1215,     91, 116.976
      1216,    107, 116.967
      1217,    104, 116.956
      1218,    106, 116.947
      1219,    116, 116.946
      1220,    147, 116.972
      1221,    117, 116.972
      1222,    111, 116.967
      1223,    113, 116.963
      1224,    150, 116.991
      1225,    120, 116.994
      1226,    128, 117.003
      1227,    120, 117.006
      1228,    108, 116.998
